font,filename,relative_path,white_ratio,dark_ratio,border_mean,border_dark_ratio,reason
SushiJT,瑟.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/瑟.png,0.169329,0.694191,137.683029,0.460938,low_white_high_dark;dark_border_low_white
SushiJT,病.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/病.png,0.268201,0.603341,157.322540,0.383929,low_white_high_dark;dark_border_low_white
SushiJT,真.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/真.png,0.074961,0.801384,131.845978,0.484375,low_white_high_dark;dark_border_low_white
SushiJT,秋.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/秋.png,0.430171,0.485272,175.924103,0.310268,low_white_high_dark;dark_border_low_white
SushiJT,窮.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/窮.png,0.228047,0.619689,146.300217,0.427455,low_white_high_dark;dark_border_low_white
SushiJT,花.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/花.png,0.129803,0.734320,137.945312,0.459821,low_white_high_dark;dark_border_low_white
SushiJT,苦.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/苦.png,0.303621,0.600671,155.245529,0.392857,low_white_high_dark;dark_border_low_white
SushiJT,菜.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/菜.png,0.180888,0.689219,131.843750,0.484375,low_white_high_dark;dark_border_low_white
SushiJT,萧.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/萧.png,0.208431,0.658517,140.227127,0.450893,low_white_high_dark;dark_border_low_white
SushiJT,起.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/起.png,0.330860,0.562465,155.986603,0.388393,low_white_high_dark;dark_border_low_white
SushiJT,过.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/过.png,0.208431,0.669787,145.878342,0.428571,low_white_high_dark;dark_border_low_white
SushiJT,途.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/途.png,0.255077,0.634372,140.408478,0.450893,low_white_high_dark;dark_border_low_white
SushiJT,闇.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/闇.png,0.177565,0.666509,127.580360,0.495536,low_white_high_dark;dark_border_low_white
SushiJT,雪.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/雪.png,0.299531,0.590596,146.747772,0.426339,low_white_high_dark;dark_border_low_white
SushiJT,食.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/食.png,0.164750,0.712776,137.655685,0.460938,low_white_high_dark;dark_border_low_white
SushiJT,首.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/首.png,0.174526,0.706458,141.024551,0.447545,low_white_high_dark;dark_border_low_white
SushiJT,黄.png,fontdata_example/font/train/new/SushiJT/images_white_bg_mask_denoised/黄.png,0.191820,0.705726,140.785721,0.448661,low_white_high_dark;dark_border_low_white
YanzqBF,勛.png,fontdata_example/font/train/new/YanzqBF/images_white_bg_mask_denoised/勛.png,0.681372,0.275874,255.000000,0.000000,low_white_high_dark
YanzqBF,南.png,fontdata_example/font/train/new/YanzqBF/images_white_bg_mask_denoised/南.png,0.637964,0.325350,255.000000,0.000000,low_white_high_dark
YanzqBF,海.png,fontdata_example/font/train/new/YanzqBF/images_white_bg_mask_denoised/海.png,0.695965,0.264917,254.987717,0.000000,low_white_high_dark
YanzqJT,勛.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/勛.png,0.681372,0.275874,255.000000,0.000000,low_white_high_dark
YanzqJT,南.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/南.png,0.637964,0.325350,255.000000,0.000000,low_white_high_dark
YanzqJT,因.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/因.png,0.697365,0.265291,255.000000,0.000000,low_white_high_dark
YanzqJT,圎.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/圎.png,0.673564,0.278440,255.000000,0.000000,low_white_high_dark
YanzqJT,海1.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/海1.png,0.695965,0.264917,254.987717,0.000000,low_white_high_dark
YanzqJT,籙.png,fontdata_example/font/train/new/YanzqJT/images_white_bg_mask_denoised/籙.png,0.686165,0.264080,254.979355,0.000000,low_white_high_dark
